lp,NazwaAplikacji,NumerModelowy,Wlasciciel,CzasTworzenia,Budzet,LiczbaPobran,CzyAplikacjaJestPlatna,DataWydania,OstatniaAktualizacjaOprogramowania
1,Solarbreeze,8026946270,Loralyn Bruna,496 dni,86192 zł,9317322,false,22.11.2012,12.8.2019
2,Keylex,8979502349,Devi Harrap,794 dni,9684 zł,1486065,false,20.10.2013,7.8.2022
3,Y-find,2465069306,Myranda Dominguez,35 dni,57150 zł,161814,false,24.1.2013,16.12.2019
4,Tampflex,8641662595,Libbie Crossfeld,128 dni,16147 zł,3910192,false,12.7.2014,30.8.2016
5,Tres-Zap,9770847484,Zak McCrillis,196 dni,49559 zł,5516666,true,24.6.2015,20.9.2020
6,Sub-Ex,990605785,Kristofer Tuckey,493 dni,82967 zł,4846217,false,8.7.2015,28.6.2021
7,Veribet,452758508,Willis Essex,567 dni,72460 zł,5632460,true,18.9.2015,7.10.2018
8,Tempsoft,9501895551,Gustavus Burgiss,561 dni,83184 zł,1007688,true,20.12.2012,14.12.2015
9,Biodex,4555375980,Ricky Gitsham,566 dni,89920 zł,3762333,false,19.10.2013,25.8.2019
10,Holdlamis,4631641491,Malia Prisley,849 dni,97994 zł,5074613,false,12.6.2015,20.7.2020
11,Alpha,7844939492,Flemming Filimore,584 dni,77993 zł,6075828,false,5.2.2014,29.7.2017
12,Biodex,2786334655,Bertina Yakovliv,231 dni,63756 zł,2504744,true,1.5.2013,16.9.2020
13,Tampflex,2040256902,Julita Calvard,531 dni,15790 zł,554159,false,3.5.2015,6.9.2019
14,Stim,925723983,Gizela Tweedy,881 dni,6955 zł,4273407,false,9.6.2015,12.6.2020
15,Home Ing,639016460,Hubey Collumbine,45 dni,94363 zł,2374155,true,23.7.2015,27.5.2016
16,Quo Lux,4266923864,Jolene Potzold,720 dni,4971 zł,6040283,false,26.7.2014,12.7.2017
17,Gembucket,9029077153,Rocky Connachan,298 dni,71317 zł,7781112,false,12.11.2013,26.7.2021
18,Vagram,3654788885,Cecil Burnard,834 dni,10233 zł,5755681,false,22.3.2015,22.11.2020
19,Voltsillam,3374636648,Val Cromblehome,485 dni,16406 zł,2558508,true,23.11.2012,2.5.2019
20,Domainer,9347546610,Gabie Gillcrist,594 dni,35204 zł,9584313,true,25.6.2014,2.10.2021
21,Home Ing,3256831289,Cherin Laffan,799 dni,46018 zł,3133569,false,18.7.2015,25.1.2018
22,Andalax,3051565157,Jo-ann Linnell,728 dni,91414 zł,4357429,true,28.12.2014,2.7.2022
23,Voyatouch,5794638322,Leandra Syers,846 dni,5785 zł,6678804,false,26.6.2013,23.4.2016
24,Konklab,59753372,Dannie Waplinton,697 dni,68877 zł,1742233,true,9.7.2013,8.7.2019
25,Latlux,1706463552,Tansy Fillimore,54 dni,47355 zł,4524868,true,5.4.2015,5.7.2021
26,Tampflex,5610351925,Alain Jacomb,344 dni,65693 zł,463204,false,21.8.2014,24.3.2020
27,Hatity,6062776584,Chevalier Dedam,639 dni,45113 zł,8484924,true,22.6.2015,13.4.2020
28,Veribet,3866096671,Livy Odgers,164 dni,6514 zł,5314124,false,22.3.2013,16.5.2017
29,Tres-Zap,9649072171,Gaby Quarterman,94 dni,46722 zł,54497,false,13.1.2015,28.5.2020
30,Viva,1834718488,Shelly Elleray,95 dni,81428 zł,3164072,false,24.9.2014,30.6.2016
31,Trippledex,1202297427,Dyann Khadir,518 dni,49357 zł,3930869,false,23.10.2015,8.4.2017
32,Treeflex,2386579337,Genevra Scrammage,793 dni,4938 zł,282793,true,13.2.2014,8.7.2017
33,Zaam-Dox,6921725155,Arlina Gandy,232 dni,94046 zł,7458026,false,23.9.2014,2.9.2022
34,Greenlam,576081291,Milly Twinberrow,824 dni,51174 zł,360671,true,12.10.2015,11.6.2017
